speed_x,altitude,course,courseVariation,accX,accY,accZ,roll,pitch,yaw,distanceAheadVehicle,timeOfImpactAheadVehicle,behaviour
65.2,612.7,331.9,0,-0.01,-0.047,0.023,-1.527,0.016,0.016,18.16,1,NORMAL
65.13,612.68,331.9,0,0.015,-0.043,0.02,-1.526,0.017,0.017,18.12,1,NORMAL
65.06,612.66,331.9,0,-0.028,-0.025,0.012,-1.528,0.018,0.018,17.905,0.995,NORMAL
64.99,612.64,331.9,0,-0.016,-0.029,0.008,-1.529,0.023,0.019,17.69,0.99,NORMAL
64.92,612.62,331.9,0,0.014,-0.006,0.016,-1.531,0.022,0.02,17.74,0.99,NORMAL
64.85,612.6,331.9,0,0.026,0.009,0.015,-1.531,0.019,0.021,17.78,0.99,NORMAL
64.78,612.58,331.9,0,0.036,0.003,0.011,-1.531,0.018,0.022,17.94,1,NORMAL
64.71,612.56,331.9,0,-0.061,-0.005,-0.03,-1.531,0.024,0.022,18.07,1.01,NORMAL
64.64,612.54,331.9,0,0.015,0.02,0.014,-1.532,0.025,0.022,18.17,1.01,NORMAL
64.57,612.52,331.9,0,-0.029,-0.032,0.014,-1.535,0.026,0.022,18.13,1.01,NORMAL
64.5,612.5,331.9,0,-0.032,0,0.022,-1.535,0.029,0.023,18.115,1.01,NORMAL
64.41,612.54,331.79,0.1055,0.037,-0.043,0.025,-1.538,0.032,0.024,18.1,1.01,NORMAL
64.32,612.58,331.68,0.211,0.05,0,-0.028,-1.535,0.032,0.025,17.83,1.01,NORMAL
64.23,612.62,331.57,0.3165,-0.025,0.019,-0.014,-1.533,0.03,0.024,17.62,1,NORMAL
64.14,612.66,331.46,0.422,-0.063,0.041,0.003,-1.534,0.028,0.024,16.68,0.94,NORMAL
64.05,612.7,331.35,0.5275,-0.009,0.016,0.008,-1.535,0.026,0.024,15.8,0.89,NORMAL
63.96,612.74,331.24,0.633,0.019,0.04,-0.015,-1.533,0.024,0.024,15.755,0.89,NORMAL
63.87,612.78,331.13,0.7385,0.018,0.01,-0.021,-1.529,0.022,0.024,15.71,0.89,NORMAL
63.78,612.82,331.02,0.844,0.033,-0.003,0.009,-1.529,0.023,0.024,15.25,0.86,NORMAL
63.69,612.86,330.91,0.9495,0.028,-0.02,-0.009,-1.527,0.023,0.024,14.04,0.79,NORMAL
63.6,612.9,330.8,1.055,0.029,-0.005,0,-1.523,0.022,0.025,13.35,0.76,NORMAL
63.46,612.94,330.8,1.055,0.003,-0.029,-0.014,-1.52,0.023,0.025,13.13,0.74,NORMAL
63.32,612.98,330.8,1.055,-0.017,-0.016,-0.021,-1.518,0.025,0.027,13.17,0.76,NORMAL
63.18,613.02,330.8,1.055,-0.003,-0.005,0.021,-1.518,0.026,0.03,13,0.75,NORMAL
63.04,613.06,330.8,1.055,0.047,0.015,0.005,-1.516,0.026,0.031,12.88,0.75,NORMAL
62.9,613.1,330.8,1.055,0.062,0.025,0.008,-1.513,0.024,0.033,12.89,0.75,NORMAL
62.76,613.14,330.8,1.055,0.038,-0.01,-0.004,-1.511,0.025,0.034,13.06,0.76,NORMAL
62.62,613.18,330.8,1.055,-0.023,-0.034,0.018,-1.512,0.029,0.035,13.23,0.77,NORMAL
62.48,613.22,330.8,1.055,-0.027,-0.028,0.037,-1.514,0.032,0.036,-1,-1,NORMAL
62.34,613.26,330.8,1.055,-0.033,-0.013,0.05,-1.518,0.035,0.037,6.25,-0.11,NORMAL
62.2,613.3,330.8,1.055,0.045,0.026,0.045,-1.519,0.032,0.038,13.5,0.78,NORMAL
62.07,613.32,330.73,1.0198,0.066,-0.018,0.038,-1.517,0.03,0.039,13.58,0.79,NORMAL
61.94,613.34,330.66,0.9846,0.043,0.005,0.007,-1.515,0.032,0.04,13.86,0.8,NORMAL
61.81,613.36,330.59,0.9494,0.014,0.023,0.062,-1.515,0.032,0.041,14.21,0.84,NORMAL
61.68,613.38,330.52,0.9142,0.044,-0.093,0.058,-1.513,0.03,0.042,14.6,0.86,NORMAL
61.55,613.4,330.45,0.879,-0.04,0.008,0.018,-1.511,0.025,0.043,15.03,0.89,NORMAL
61.42,613.42,330.38,0.8438,-0.076,0.005,0.019,-1.514,0.022,0.044,15.35,0.91,NORMAL
61.29,613.44,330.31,0.8086,-0.078,0.018,0.079,-1.518,0.02,0.044,15.62,0.92,NORMAL
61.16,613.46,330.24,0.7734,-0.023,-0.001,0.063,-1.523,0.022,0.046,15.34,0.91,NORMAL
61.03,613.48,330.17,0.7382,0.014,0.001,0.066,-1.529,0.022,0.047,15.23,0.9,NORMAL
60.9,613.5,330.1,0.703,0.056,0.017,0.071,-1.533,0.018,0.048,15.12,0.89,NORMAL
60.93,613.53,330.03,0.7733,0.067,-0.009,0.045,-1.533,0.014,0.048,14.94,0.88,NORMAL
60.96,613.56,329.96,0.8436,0.032,-0.051,0.071,-1.534,0.017,0.049,15.04,0.88,NORMAL
60.99,613.59,329.89,0.9139,0.02,-0.074,0.035,-1.535,0.023,0.05,15.12,0.89,NORMAL
61.02,613.62,329.82,0.9842,-0.009,-0.032,0.032,-1.536,0.022,0.051,15.44,0.91,NORMAL
61.05,613.65,329.75,1.0545,-0.043,-0.022,0.046,-1.542,0.018,0.052,15.56,0.92,NORMAL
61.08,613.68,329.68,1.1248,-0.063,-0.008,0.034,-1.544,0.013,0.053,15.63,0.92,NORMAL
61.11,613.71,329.61,1.1951,0.015,0.003,0.052,-1.548,0.013,0.055,15.84,0.93,NORMAL
61.14,613.74,329.54,1.2654,-0.015,-0.02,0.047,-1.554,0.015,0.057,15.86,0.93,NORMAL
61.17,613.77,329.47,1.3357,0.022,-0.02,0.031,-1.555,0.019,0.058,15.55,0.91,NORMAL
61.2,613.8,329.4,1.406,0.026,-0.058,0.041,-1.56,0.022,0.06,15.28,0.9,NORMAL
61.25,613.82,329.33,1.406,-0.002,-0.011,0.035,-1.567,0.022,0.062,15.35,0.9,NORMAL
61.3,613.84,329.26,1.406,-0.005,-0.025,0.014,-1.568,0.024,0.064,15.42,0.9,NORMAL
61.35,613.86,329.19,1.406,-0.002,-0.034,0.018,-1.569,0.025,0.067,15.53,0.91,NORMAL
61.4,613.88,329.12,1.406,-0.014,-0.032,0.026,-1.573,0.028,0.069,15.62,0.91,NORMAL
61.45,613.9,329.05,1.406,0,-0.006,0.022,-1.575,0.031,0.072,15.42,0.9,NORMAL
61.5,613.92,328.98,1.406,0.036,-0.011,0.031,-1.576,0.034,0.075,15.465,0.905,NORMAL
61.55,613.94,328.91,1.406,0.02,-0.058,0.019,-1.574,0.034,0.079,15.51,0.91,NORMAL
